  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  1.46	-5.49221033e-01	-7.02616710e-01	+3.37731336e+00	-5.60914469e+00	-2.000000e+00
  1.47	-5.56248556e-01	-7.35159110e-01	+3.32121728e+00	-5.72038561e+00	-2.000000e+00
  1.48	-5.63601398e-01	-7.65192599e-01	+3.26400949e+00	-5.81467338e+00	-2.000000e+00
  1.49	-5.71254462e-01	-7.92481382e-01	+3.20585958e+00	-5.89083928e+00	-2.000000e+00
  1.50	-5.79180290e-01	-8.16838238e-01	+3.14694881e+00	-5.94792552e+00	-2.000000e+00
  1.51	-5.87349560e-01	-8.38136977e-01	+3.08746800e+00	-5.98523947e+00	-2.000000e+00
  1.52	-5.95731688e-01	-8.56322007e-01	+3.02761489e+00	-6.00239557e+00	-2.000000e+00
  1.53	-6.04295537e-01	-8.71413866e-01	+2.96759106e+00	-5.99933940e+00	-2.000000e+00
  1.54	-6.13010180e-01	-8.83509992e-01	+2.90759862e+00	-5.97635114e+00	-2.000000e+00
  1.55	-6.21845666e-01	-8.92780562e-01	+2.84783687e+00	-5.93402741e+00	-2.000000e+00
  1.56	-6.30773750e-01	-8.99459849e-01	+2.78849913e+00	-5.87324387e+00	-2.000000e+00
  1.57	-6.39768531e-01	-9.03834079e-01	+2.72976995e+00	-5.79510305e+00	-2.000000e+00
  1.58	-6.48806972e-01	-9.06227071e-01	+2.67182284e+00	-5.70087324e+00	-2.000000e+00
  1.59	-6.57869274e-01	-9.06985118e-01	+2.61481865e+00	-5.59192497e+00	-2.000000e+00
  1.60	-6.66939104e-01	-9.06462385e-01	+2.55890449e+00	-5.46967070e+00	-2.000000e+00
  1.61	-6.76003667e-01	-9.05007866e-01	+2.50421338e+00	-5.33551210e+00	-2.000000e+00
  1.62	-6.85053660e-01	-9.02954565e-01	+2.45086428e+00	-5.19079758e+00	-2.000000e+00
  1.63	-6.94083108e-01	-9.00611199e-01	+2.39896273e+00	-5.03679116e+00	-2.000000e+00
  1.64	-7.03089122e-01	-8.98256427e-01	+2.34860157e+00	-4.87465220e+00	-2.000000e+00
  1.65	-7.12071598e-01	-8.96135378e-01	+2.29986210e+00	-4.70542492e+00	-2.000000e+00
  1.66	-7.21032882e-01	-8.94458128e-01	+2.25281516e+00	-4.53003569e+00	-2.000000e+00
  1.67	-7.29977419e-01	-8.93399726e-01	+2.20752233e+00	-4.34929643e+00	-2.000000e+00
  1.68	-7.38911403e-01	-8.93101357e-01	+2.16403709e+00	-4.16391203e+00	-2.000000e+00
  1.69	-7.47842441e-01	-8.93672308e-01	+2.12240586e+00	-3.97449033e+00	-2.000000e+00
  1.70	-7.56779227e-01	-8.95192417e-01	+2.08266900e+00	-3.78155340e+00	-2.000000e+00
  1.71	-7.65731256e-01	-8.97714795e-01	+2.04486163e+00	-3.58554906e+00	-2.000000e+00
  1.72	-7.74708552e-01	-9.01268624e-01	+2.00901442e+00	-3.38686204e+00	-2.000000e+00
  1.73	-7.83721430e-01	-9.05861934e-01	+1.97515417e+00	-3.18582427e+00	-2.000000e+00
  1.74	-7.92780284e-01	-9.11484255e-01	+1.94330439e+00	-2.98272412e+00	-2.000000e+00
  1.75	-8.01895402e-01	-9.18109111e-01	+1.91348569e+00	-2.77781446e+00	-2.000000e+00
  1.76	-8.11076809e-01	-9.25696320e-01	+1.88571615e+00	-2.57131943e+00	-2.000000e+00
  1.77	-8.20334126e-01	-9.34194093e-01	+1.86001162e+00	-2.36344018e+00	-2.000000e+00
  1.78	-8.29676457e-01	-9.43540929e-01	+1.83638593e+00	-2.15435944e+00	-2.000000e+00
  1.79	-8.39112288e-01	-9.53667310e-01	+1.81485109e+00	-1.94424524e+00	-2.000000e+00
  1.80	-8.48649412e-01	-9.64497217e-01	+1.79541743e+00	-1.73325380e+00	-2.000000e+00
  1.81	-8.58294862e-01	-9.75949456e-01	+1.77809371e+00	-1.52153176e+00	-2.000000e+00
  1.82	-8.68054856e-01	-9.87938839e-01	+1.76288724e+00	-1.30921784e+00	-2.000000e+00
  1.83	-8.77934762e-01	-1.00037720e+00	+1.74980393e+00	-1.09644407e+00	-2.000000e+00
  1.84	-8.87939068e-01	-1.01317429e+00	+1.73884836e+00	-8.83336749e-01	-2.000000e+00
  1.85	-8.98071355e-01	-1.02623854e+00	+1.73002389e+00	-6.70017086e-01	-2.000000e+00
  1.86	-9.08334292e-01	-1.03947773e+00	+1.72333261e+00	-4.56601712e-01	-2.000000e+00
  1.87	-9.18729624e-01	-1.05279956e+00	+1.71877548e+00	-2.43203087e-01	-2.000000e+00
  1.88	-9.29258174e-01	-1.06611214e+00	+1.71635234e+00	-2.99298444e-02	-2.000000e+00
  1.89	-9.39919846e-01	-1.07932444e+00	+1.71606191e+00	+1.83112866e-01	-2.000000e+00
  1.90	-9.50713633e-01	-1.09234666e+00	+1.71790191e+00	+3.95823023e-01	-2.000000e+00
  1.91	-9.61637631e-01	-1.10509059e+00	+1.72186898e+00	+6.08101328e-01	-2.000000e+00
  1.92	-9.72686590e-01	-1.05835825e+00	+1.72795965e+00	+8.39768253e-01	+2.000000e+00
  1.93	-9.83268238e-01	-1.01192498e+00	+1.73636698e+00	+1.07130797e+00	+2.000000e+00
  1.94	-9.93385560e-01	-9.65677500e-01	+1.74708971e+00	+1.30289852e+00	+2.000000e+00
  1.95	-1.00304041e+00	-9.19504556e-01	+1.76012835e+00	+1.53470649e+00	+2.000000e+00
  1.96	-1.01223353e+00	-8.73296946e-01	+1.77548509e+00	+1.76688657e+00	+2.000000e+00
  1.97	-1.02096457e+00	-8.26947659e-01	+1.79316365e+00	+1.99958076e+00	+2.000000e+00
  1.98	-1.02923211e+00	-7.80352202e-01	+1.81316918e+00	+2.23291731e+00	+2.000000e+00
  1.99	-1.03703367e+00	-7.33409128e-01	+1.83550811e+00	+2.46700911e+00	+2.000000e+00
